Internal code for this file,Country Code,Country name,Year,Gas/Scope,CRF code,Description as in CRF,Sector_code,Sector_name,Colum,Row,Unit,Emissions - MS [kt],Emissions - EEA [kt],Emissions with notation key [kt],Emissions,Notation key,Source,Description test,Check,Manually,Final check
AT_2023_CO2_Total_net,AT,Austria,2023,CO2,Total_net,Total (net emissions)(1),,,B,7,Gg CO2 equivalent,52355.24729,52355.26748,"52,355.27",52355.27,,EEA,Total (net emissions)(1),TRUE,,TRUE
AT_2023_CO2_1,AT,Austria,2023,CO2,1,1. Energy,1,1 - Energy,B,8,Gg CO2 equivalent,43363.22394,43363.22398,"43,363.22",43363.22,,EEA,1. Energy,TRUE,,TRUE
AT_2023_CO2_1A,AT,Austria,2023,CO2,1A,A. Fuel combustion (sectoral approach),1.AA,1.AA - Fuel Combustion - Sectoral approach,B,9,Gg CO2 equivalent,43282.98388,43282.98388,"43,282.98",43282.98,,MS data,A. Fuel combustion (sectoral approach),TRUE,,TRUE
AT_2023_CO2_1A1,AT,Austria,2023,CO2,1A1,1.  Energy industries,1.A.1,1.A.1 - Energy Industries,B,10,Gg CO2 equivalent,7422.42509,7422.42509,"7,422.43",7422.43,,MS data,1.  Energy industries,TRUE,,TRUE
AT_2023_CO2_1A2,AT,Austria,2023,CO2,1A2,2.  Manufacturing industries and construction,1.A.2,1.A.2 - Manufacturing Industries and Construction,B,11,Gg CO2 equivalent,9825.98899,9825.98899,"9,825.99",9825.99,,MS data,2.  Manufacturing industries and construction,TRUE,,TRUE
AT_2023_CO2_1A3,AT,Austria,2023,CO2,1A3,3.  Transport,1.A.3,1.A.3 - Transport,B,12,Gg CO2 equivalent,19566.01299,19566.01299,"19,566.01",19566.01,,MS data,3.  Transport (3),FALSE,1,TRUE
AT_2023_CO2_1A4,AT,Austria,2023,CO2,1A4,4.  Other sectors,1.A.4,1.A.4 - Other Sectors,B,13,Gg CO2 equivalent,6441.45342,6441.45342,"6,441.45",6441.45,,MS data,4.  Other sectors,TRUE,,TRUE
AT_2023_CO2_1A5,AT,Austria,2023,CO2,1A5,5.  Other,1.A.5,1.A.5 - Other Other Sectors,B,14,Gg CO2 equivalent,27.10339,27.10339,27.1,27.10,,MS data,5.  Other,TRUE,,TRUE
AT_2023_CO2_1B,AT,Austria,2023,CO2,1B,B. Fugitive emissions from fuels,1.B,1.B - Fugitive Emissions from Fuels,B,15,Gg CO2 equivalent,80.24006,80.2401,80.24,80.24,,EEA,B. Fugitive emissions from fuels,TRUE,,TRUE
AT_2023_CO2_1B1,AT,Austria,2023,CO2,1B1,1.  Solid fuels,1.B.1,1.B.1 - Solid Fuels,B,16,Gg CO2 equivalent,0,0,0,0.00,,MS data,1.  Solid fuels,TRUE,,TRUE
AT_2023_CO2_1B2,AT,Austria,2023,CO2,1B2,2.  Oil and natural gas,1.B.2,1.B.2 - Oil and Natural Gas and Other Emissions from Energy Production,B,17,Gg CO2 equivalent,80.24006,80.2401,80.24,80.24,,EEA,2.  Oil and natural gas,TRUE,,TRUE
